role,normalizedRole,page,flag,roleAllowed,moduleAllowed,finalAccess
"super_admin","super_admin","invitations","invitationsV2","false","true","false"
"super_admin","super_admin","department_management","departmentManagementV2","true","true","true"
"super_admin","super_admin","user_management","userManagementV2","true","true","true"
"super_admin","super_admin","admin_management","adminManagementV2","true","true","true"
"system_admin","super_admin","invitations","invitationsV2","false","true","false"
"system_admin","super_admin","department_management","departmentManagementV2","true","true","true"
"system_admin","super_admin","user_management","userManagementV2","true","true","true"
"system_admin","super_admin","admin_management","adminManagementV2","true","true","true"
"admin","admin","invitations","invitationsV2","true","true","true"
"admin","admin","department_management","departmentManagementV2","true","true","true"
"admin","admin","user_management","userManagementV2","false","true","false"
"admin","admin","admin_management","adminManagementV2","false","true","false"
"dept_admin","department_admin","invitations","invitationsV2","true","true","true"
"dept_admin","department_admin","department_management","departmentManagementV2","false","true","false"
"dept_admin","department_admin","user_management","userManagementV2","false","true","false"
"dept_admin","department_admin","admin_management","adminManagementV2","false","true","false"
"manager","department_admin","invitations","invitationsV2","true","true","true"
"manager","department_admin","department_management","departmentManagementV2","false","true","false"
"manager","department_admin","user_management","userManagementV2","false","true","false"
"manager","department_admin","admin_management","adminManagementV2","false","true","false"
"employee","employee","invitations","invitationsV2","false","true","false"
"employee","employee","department_management","departmentManagementV2","false","true","false"
"employee","employee","user_management","userManagementV2","false","true","false"
"employee","employee","admin_management","adminManagementV2","false","true","false"
"viewer","viewer","invitations","invitationsV2","false","true","false"
"viewer","viewer","department_management","departmentManagementV2","false","true","false"
"viewer","viewer","user_management","userManagementV2","false","true","false"
"viewer","viewer","admin_management","adminManagementV2","false","true","false"
