role,page,flag,roleAllowed,moduleAllowed,finalAccess
"super_admin","invitations","invitationsV2","false","true","false"
"super_admin","department_management","departmentManagementV2","true","true","true"
"super_admin","user_management","userManagementV2","true","true","true"
"super_admin","admin_management","adminManagementV2","true","true","true"
"system_admin","invitations","invitationsV2","false","true","false"
"system_admin","department_management","departmentManagementV2","true","true","true"
"system_admin","user_management","userManagementV2","true","true","true"
"system_admin","admin_management","adminManagementV2","true","true","true"
"admin","invitations","invitationsV2","true","true","true"
"admin","department_management","departmentManagementV2","true","true","true"
"admin","user_management","userManagementV2","false","true","false"
"admin","admin_management","adminManagementV2","false","true","false"
"dept_admin","invitations","invitationsV2","true","true","true"
"dept_admin","department_management","departmentManagementV2","false","true","false"
"dept_admin","user_management","userManagementV2","false","true","false"
"dept_admin","admin_management","adminManagementV2","false","true","false"
"manager","invitations","invitationsV2","false","true","false"
"manager","department_management","departmentManagementV2","false","true","false"
"manager","user_management","userManagementV2","false","true","false"
"manager","admin_management","adminManagementV2","false","true","false"
"employee","invitations","invitationsV2","false","true","false"
"employee","department_management","departmentManagementV2","false","true","false"
"employee","user_management","userManagementV2","false","true","false"
"employee","admin_management","adminManagementV2","false","true","false"
"viewer","invitations","invitationsV2","false","true","false"
"viewer","department_management","departmentManagementV2","false","true","false"
"viewer","user_management","userManagementV2","false","true","false"
"viewer","admin_management","adminManagementV2","false","true","false"
